taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Tecoma stans,ITIS:34326,species,ITIS:34326,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,stans,,yellow trumpetbush
Lantana radiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe barbadensis,ITIS:42773,species,ITIS:182653,synonym,2014-10-27,Plantae,NA,Magnoliopsida,Asparagales,Xanthorrhoeaceae,Aloe,vera,,West Indian aloe
Canna,ITIS:42409,genus,ITIS:42409,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,canna
Asparagus densiflorus,ITIS:193452,species,ITIS:193452,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,densiflorus,,NA
Macfadyena unguis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennisetum setaceum,ITIS:42013,species,ITIS:796732,synonym,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Cenchrus,setaceus,,NA
Trachelospermum jasminoides,ITIS:505546,species,ITIS:505546,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Trachelospermum,jasminoides,,confederate jasmine
Sphaeralcea,ITIS:21909,genus,ITIS:21909,accepted,2020-08-28,NA,NA,NA,NA,NA,NA,,,globemallow
Pittosporum tobira,ITIS:24067,species,ITIS:24067,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Apiales,Pittosporaceae,Pittosporum,tobira,,Japanese cheesewood
Osteospermum fruticosum,ITIS:565344,species,ITIS:565344,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Osteospermum,fruticosum,,shrubby daisybush
Duranta erecta,ITIS:502187,species,ITIS:502187,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Duranta,erecta,,golden dewdrops
Pandorea jasminoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nandina domestica,ITIS:18848,species,ITIS:18848,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Ranunculales,Berberidaceae,Nandina,domestica,,sacred bamboo
Passiflora,ITIS:22219,genus,ITIS:22219,accepted,2012-08-29,NA,NA,NA,NA,NA,NA,,,passionflower
Hibiscus,ITIS:21611,genus,ITIS:21611,accepted,2020-08-28,NA,NA,NA,NA,NA,NA,,,rosemallow
Pyracantha,ITIS:25291,genus,ITIS:25291,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,firethorn
Hesperaloe parviflora,ITIS:42947,species,ITIS:42947,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Hesperaloe,parviflora,,redflower false yucca
Dasylirion wheeleri,ITIS:42914,species,ITIS:42914,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Dasylirion,wheeleri,,sotol
Hibiscus rosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setcreasea pallida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asparagus setaceus,ITIS:193453,species,ITIS:193453,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,setaceus,,common asparagus fern
Acacia redolens,ITIS:506812,species,ITIS:506812,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acacia,redolens,,bank catclaw
Ruellia peninsularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,ITIS:40351,family,ITIS:40351,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,grasses
Dodonaea viscosa,ITIS:28675,species,ITIS:28675,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Sapindales,Sapindaceae,Dodonaea,viscosa,,hopseed bush
Bougainvillea spectabilis,ITIS:895413,species,ITIS:895413,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Caryophyllales,Nyctaginaceae,Bougainvillea,spectabilis,,great bougainvillea
Cycas revoluta,ITIS:183258,species,ITIS:183258,accepted,2013-01-29,Plantae,NA,Cycadopsida,Cycadales,Cycadaceae,Cycas,revoluta,,sago palm
Leucophyllum,ITIS:33627,genus,ITIS:33627,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,barometerbush
Senna artemisioides,ITIS:507170,species,ITIS:507170,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Senna,artemisioides,,silver senna
Raphiolepis indica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portulacaria afra,ITIS:506584,species,ITIS:506584,accepted,2012-03-29,Plantae,NA,Magnoliopsida,Caryophyllales,Didiereaceae,Portulacaria,afra,,elephant bush
